State,Year,Month,avgtemp(F)
Illinois,2015,4,54.3
Illinois,2015,5,64.9
Illinois,2015,6,71.7
Illinois,2015,7,74.3
Illinois,2015,8,71.9
Illinois,2015,9,70.4
Illinois,2015,10,56.1
Illinois,2015,11,46.6
Illinois,2015,12,41.1
Indiana,2000,1,26.7
Indiana,2000,2,36.7
Indiana,2000,3,45.5
Indiana,2000,4,50.4
Indiana,2000,5,64.2
Indiana,2000,6,70.4
Indiana,2000,7,71.9
Indiana,2000,8,72
Indiana,2000,9,64.4
Indiana,2000,10,57.2
Indiana,2000,11,40.3
Indiana,2000,12,19.2
Indiana,2001,1,26.9
Indiana,2001,2,33.5
Indiana,2001,3,37.2
Indiana,2001,4,56.5
Indiana,2001,5,64
Indiana,2001,6,69.1
Indiana,2001,7,73.7
Indiana,2001,8,73.9
Indiana,2001,9,63.6
Indiana,2001,10,53.7
Indiana,2001,11,49
Indiana,2001,12,36.9
Indiana,2002,1,34.1
Indiana,2002,2,35.2
Indiana,2002,3,38.3
Indiana,2002,4,53.5
Indiana,2002,5,58.4
Indiana,2002,6,72.9
Indiana,2002,7,77
Indiana,2002,8,74.8
Indiana,2002,9,69.2
Indiana,2002,10,52.4
Indiana,2002,11,39.9
Indiana,2002,12,31.7
Indiana,2003,1,21.7
Indiana,2003,2,25.7
Indiana,2003,3,42.1
Indiana,2003,4,53.2
Indiana,2003,5,60.5
Indiana,2003,6,67.1
Indiana,2003,7,73
Indiana,2003,8,73.8
Indiana,2003,9,63.4
Indiana,2003,10,52.9
Indiana,2003,11,46
Indiana,2003,12,33.5
Indiana,2004,1,24.5
Indiana,2004,2,29.9
Indiana,2004,3,44.3
Indiana,2004,4,53.3
Indiana,2004,5,65.9
Indiana,2004,6,69.5
Indiana,2004,7,72
Indiana,2004,8,68.6
Indiana,2004,9,67.1
Indiana,2004,10,54.8
Indiana,2004,11,45.9
Indiana,2004,12,30.8
Indiana,2005,1,29.9
Indiana,2005,2,34.8
Indiana,2005,3,37.3
Indiana,2005,4,54
Indiana,2005,5,59.2
Indiana,2005,6,73.5
Indiana,2005,7,75
Indiana,2005,8,74.9
Indiana,2005,9,69.2
Indiana,2005,10,55.2
Indiana,2005,11,44.6
Indiana,2005,12,26.7
Indiana,2006,1,39.1
